image_width,image_height,xmin,ymin,xmax,ymax,box_width,box_height,box_area,aspect_ratio,area_percentage,center_x,center_y,relative_center_x,relative_center_y,width_percentage,height_percentage,label
400,300,185,259,228,300,43,41,1763,1.048780487804878,0.0146916666666666,206.5,279.5,0.51625,0.9316666666666666,0.1075,0.1366666666666666,minor_pothole
447,300,293,214,350,243,57,29,1653,1.9655172413793105,0.0123266219239373,321.5,228.5,0.7192393736017897,0.7616666666666667,0.1275167785234899,0.0966666666666666,medium_pothole
480,300,146,159,235,172,89,13,1157,6.846153846153846,0.0080347222222222,190.5,165.5,0.396875,0.5516666666666666,0.1854166666666666,0.0433333333333333,medium_pothole
720,720,523,498,580,558,57,60,3420,0.95,0.0065972222222222,551.5,528.0,0.7659722222222223,0.7333333333333333,0.0791666666666666,0.0833333333333333,minor_pothole
1600,1200,608,393,1041,708,433,315,136395,1.3746031746031746,0.0710390625,824.5,550.5,0.5153125,0.45875,0.270625,0.2625,medium_pothole
427,300,126,239,185,286,59,47,2773,1.25531914893617,0.0216471506635441,155.5,262.5,0.3641686182669789,0.875,0.1381733021077283,0.1566666666666666,medium_pothole
407,300,356,144,401,154,45,10,450,4.5,0.0036855036855036,378.5,149.0,0.92997542997543,0.4966666666666666,0.1105651105651105,0.0333333333333333,major_pothole
400,300,289,75,368,110,79,35,2765,2.257142857142857,0.0230416666666666,328.5,92.5,0.82125,0.3083333333333333,0.1975,0.1166666666666666,medium_pothole
381,300,195,128,258,143,63,15,945,4.2,0.008267716535433,226.5,135.5,0.594488188976378,0.4516666666666666,0.1653543307086614,0.05,major_pothole
425,300,142,213,287,253,145,40,5800,3.625,0.0454901960784313,214.5,233.0,0.5047058823529412,0.7766666666666666,0.3411764705882353,0.1333333333333333,major_pothole
720,720,287,160,320,185,33,25,825,1.32,0.0015914351851851,303.5,172.5,0.4215277777777778,0.2395833333333333,0.0458333333333333,0.0347222222222222,minor_pothole
400,300,4,174,109,212,105,38,3990,2.763157894736842,0.03325,56.5,193.0,0.14125,0.6433333333333333,0.2625,0.1266666666666666,major_pothole
750,1000,350,483,471,549,121,66,7986,1.8333333333333333,0.010648,410.5,516.0,0.5473333333333333,0.516,0.1613333333333333,0.066,major_pothole
